id;name;ingredient_name;ingredient_id;producer_name;producer_id;image;favorite;EAN;bio;size_number;size_unit_code;yield_unit_code;yield_amount;;;;;;;;;;;;;;;;;;;
57;Haselnusskerne;Haselnusskerne;152;Dennree;1;assets/images/products/dennree/462969.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
58;Haselnusskerne;Haselnusskerne;152;Dennree;1;assets/images/products/dennree/457514.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
59;Italienische Pinienkerne;Pinienkerne;315;Dennree;1;assets/images/products/dennree/457839.front.webp;0;;1;1;Pkg.;g;70;;;;;;;;;;;;;;;;;;;
60;Macadamianüsse;Macadamiennüsse;244;Dennree;1;assets/images/products/dennree/457648.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
61;Paranusskerne;Paranüsse;299;Dennree;1;assets/images/products/dennree/457424.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
62;Pekanusskerne;Pekannüsse;302;Dennree;1;assets/images/products/dennree/457762.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
63;Walnussbruch;Walnusskerne;441;Dennree;1;assets/images/products/dennree/457672.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
64;Walnusskerne;Walnusskerne;441;Dennree;1;assets/images/products/dennree/457435.front.webp;0;;1;1;Pkg.;g;150;;;;;;;;;;;;;;;;;;;
65;Maiswaffeln ungesalzen;Maiswaffeln;248;Dennree;1;assets/images/products/dennree/428016.front.webp;0;;1;1;Pkg.;g;120;;;;;;;;;;;;;;;;;;;
66;Kichererbsenwaffeln gesalzen;Kichererbsenwaffeln;186;Dennree;1;assets/images/products/dennree/kicherbsenwaffeln.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
67;Linsenwaffeln gesalzen;Linsenwaffeln;237;Dennree;1;assets/images/products/dennree/linsenwaffeln.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
68;Gojibeeren, 100 g;Goji-Beeren, getrocknet;129;Dennree;1;assets/images/products/dennree/461979.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
69;Gojibeeren, 250 g;Goji-Beeren, getrocknet;129;Dennree;1;assets/images/products/dennree/461992.front.webp;0;;1;1;Pkg.;g;250;;;;;;;;;;;;;;;;;;;
70;Mangostücke;Mango, getrocknet;260;Dennree;1;assets/images/products/dennree/463094.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
71;Meersalz fein;Salz, jodiert;360;Dennree;1;assets/images/products/dennree/596744.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
72;Meersalz fein;Salz, jodiert;360;Dennree;1;assets/images/products/dennree/597791.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
73;Barista Haferdrink mit Soja;Hafermilch;147;Dennree;1;assets/images/products/dennree/156879.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
74;Haferdrink;Hafermilch;147;Dennree;1;assets/images/products/dennree/146441.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
75;Haferdrink + Alge;Hafermilch;147;Dennree;1;assets/images/products/dennree/167231.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
76;Haferdrink glutenfrei;Hafermilch;147;Dennree;1;assets/images/products/dennree/183903.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
77;Mandeldrink;Mandelmilch;254;Dennree;1;assets/images/products/dennree/146529.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
78;Reis-Kokosdrink;Kokosmilch;200;Dennree;1;assets/images/products/dennree/146531.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
79;Reisdrink;Reismilch;334;Dennree;1;assets/images/products/dennree/102058.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
80;Sojadrink;Sojamilch;384;Dennree;1;assets/images/products/dennree/101125.front.webp;0;;1;1;Pkg.;L;1;;;;;;;;;;;;;;;;;;;
81;Dinkel-Vollkorn-Fusilli;Dinkel-Vollkorn Fusilli;88;Dennree;1;assets/images/products/dennree/543677.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
82;Dinkel-Vollkorn-Penne;Dinkel-Vollkorn Penne;90;Dennree;1;assets/images/products/dennree/543688.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
83;Dinkel-Vollkorn-Spaghetti;Dinkel-Vollkorn Linguine;89;Dennree;1;assets/images/products/dennree/543699.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
84;Hartweizen-Vollkorn-Farfalle;Weizen-Vollkorn Farfalle;454;Dennree;1;assets/images/products/dennree/546647.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
85;Hartweizen-Vollkorn-Fusilli;Weizen-Vollkorn Fusilli;455;Dennree;1;assets/images/products/dennree/546614.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
86;Hartweizen-Vollkorn-Lasagne;Weizen-Vollkorn Lasagne;456;Dennree;1;assets/images/products/dennree/546658.front.webp;0;;1;1;Pkg.;g;250;;;;;;;;;;;;;;;;;;;
87;Hartweizen-Vollkorn-Penne;Weizen-Vollkorn Penne;458;Dennree;1;assets/images/products/dennree/546625.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
88;Hartweizen-Vollkorn-Pipette Rigate;Weizen-Vollkorn Pipette Rigate;459;Dennree;1;assets/images/products/dennree/546636.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
89;Hartweizen-Vollkorn-Spaghetti;Weizen-Vollkorn Linguine;457;Dennree;1;assets/images/products/dennree/546603.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
90;Hartweizen-Vollkorn-Spaghetti;Weizen-Vollkorn Linguine;457;Dennree;1;assets/images/products/dennree/549854.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
91;Kokosmilch;Kokosmilch;200;Dennree;1;assets/images/products/dennree/597802.front.webp;0;;1;1;Pkg.;ml;250;;;;;;;;;;;;;;;;;;;
92;Berglinsen;Linsen braun;232;Dennree;1;assets/images/products/dennree/522988.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
93;Erbsen ganz;Erbsen grün;102;Dennree;1;assets/images/products/dennree/522955.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
94;Kichererbsen;Kichererbsen;181;Dennree;1;assets/images/products/dennree/522685.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
95;Rote Linsen;Linsen rot;235;Dennree;1;assets/images/products/dennree/522786.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
96;Langkornreis Vollkorn;Naturreis;275;Dennree;1;assets/images/products/dennree/510647.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
97;Rundkornreis Vollkorn;Naturreis;275;Dennree;1;assets/images/products/dennree/510603.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
98;Senf mittelscharf;Senf;372;Dennree;1;assets/images/products/dennree/557403.front.webp;0;;1;1;Gl.;ml;200;;;;;;;;;;;;;;;;;;;
99;Senf scharf;Senf;372;Dennree;1;assets/images/products/dennree/557774.front.webp;0;;1;1;Gl.;ml;200;;;;;;;;;;;;;;;;;;;
100;Senf süß;Senf;372;Dennree;1;assets/images/products/dennree/557414.front.webp;0;;1;1;Gl.;ml;200;;;;;;;;;;;;;;;;;;;
