﻿id;ingredient_id;unit_code;amount
173;39;EL;6
174;50;EL;8
175;61;EL;18
176;62;EL;6
177;69;EL;6
178;70;EL;6
179;77;EL;6
180;78;EL;6
181;81;EL;3
182;84;EL;10
183;105;EL;15
184;112;EL;18
185;114;EL;3
186;119;EL;12
187;120;EL;1,5
188;123;EL;6
189;141;EL;9
190;145;EL;6
191;146;EL;7
192;150;EL;6
193;154;EL;19
194;155;EL;6
195;156;EL;6
196;164;EL;9
197;165;EL;3
198;172;EL;15
199;175;EL;6
200;180;EL;3
201;183;EL;25
202;195;EL;9
203;201;EL;16
204;204;EL;6
205;206;EL;6
206;207;EL;6
207;208;EL;12
208;209;EL;3
209;210;EL;3
210;213;EL;6
211;214;EL;9
212;215;EL;6
213;220;EL;9
214;222;EL;6
215;225;EL;6
216;226;EL;15
217;230;EL;3
218;242;EL;15
219;251;EL;3
220;255;EL;18
221;256;EL;17
222;270;EL;18
223;274;EL;6
224;278;EL;6
225;280;EL;6
226;281;EL;18
227;285;EL;15
228;288;EL;3
229;289;EL;18
230;292;EL;6
231;294;EL;6
232;297;EL;6
233;304;EL;3
234;305;EL;6
235;306;EL;6
236;307;EL;6
237;314;EL;6
238;318;EL;19
239;329;EL;15
240;330;EL;6
241;333;EL;15
242;342;EL;9
243;351;EL;3
244;357;EL;6
245;359;EL;3
246;360;EL;6
247;361;EL;18
248;370;EL;17
249;371;EL;12
250;372;EL;6
251;373;EL;12
252;377;EL;18
253;378;EL;6
254;383;EL;21
255;384;EL;15
256;385;EL;18
257;390;EL;6
258;393;EL;9
259;402;EL;6
260;406;EL;6
261;407;EL;6
262;408;EL;19
263;409;EL;6
264;413;EL;18
265;415;EL;3
266;424;EL;6
267;429;EL;6
268;435;EL;9
269;439;EL;6
270;440;EL;6
271;442;EL;6
272;451;EL;5
273;452;EL;10
274;462;EL;9
275;466;EL;3
276;470;EL;6
277;474;EL;9
278;6;TL;2
279;8;TL;5
280;19;TL;4
281;20;TL;2
282;21;TL;5
283;25;TL;2
284;39;TL;2
285;50;TL;3
286;61;TL;6
287;62;TL;2
288;69;TL;2
289;70;TL;2
290;77;TL;2
291;78;TL;2
292;81;TL;1
293;84;TL;3
294;105;TL;5
295;112;TL;6
296;114;TL;1
297;119;TL;4
298;120;TL;0,5
299;123;TL;2
300;141;TL;3
301;145;TL;2
302;146;TL;3
303;150;TL;2
304;154;TL;6
305;155;TL;2
306;156;TL;2
307;164;TL;3
308;165;TL;1
309;172;TL;5
310;175;TL;2
311;180;TL;1
312;183;TL;8
313;195;TL;3
314;201;TL;6
315;204;TL;2
