﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
85;Kürbis-Spaghetti mit Avocado-Spinat-Soße;2;assets/images/recipes/kuerbis-spaghetti_mit_avocado-spinat-sosse.webp;3;Port.;0;0;0;;;;;
86;Kürbis-Mac & Cheese;2;assets/images/recipes/kuerbis-mac_&_cheese.webp;3;Port.;0;0;0;;;;;
87;Linsenbolognese;2;assets/images/recipes/linsenbolognese.webp;3;Port.;0;0;0;;;;;
88;Rosenkohl-Pasta;2;assets/images/recipes/rosenkohl-pasta.webp;3;Port.;0;0;0;;;;;
89;Süßkartoffel-Edamame-Chili-Pasta;2;assets/images/recipes/suesskartoffel-edamame-chili-pasta.webp;3;Port.;0;0;0;;;;;
90;Pasta mit Fenchel-Spinat-Soße;2;assets/images/recipes/pasta_mit_fenchel-spinat-sosse.webp;3;Port.;0;0;0;;;;;
91;Pasta mit Rucola-Granatapfel-Soße;2;assets/images/recipes/pasta_mit_rucola-granatapfel-sosse.webp;3;Port.;0;0;0;;;;;
92;Beans & Greens-Pasta;2;assets/images/recipes/beans_&_greens-pasta.webp;3;Port.;0;0;0;;;;;
93;Pasta mit rote Beete-Pastinaken-Soße;2;assets/images/recipes/pasta_mit_rote_beete-pastinaken-sosse.webp;3;Port.;0;0;0;;;;;
94;Grünkohl-Nudeln;2;assets/images/recipes/gruenkohl-nudeln.webp;3;Port.;0;0;0;;;;;
95;Kraut-Nudeln mit schwarzen Bohnen;2;assets/images/recipes/kraut-nudeln_mit_schwarzen_bohnen.webp;3;Port.;0;0;0;;;;;
96;Nudeln mit Pilz-Carbonara & Erbsen;2;assets/images/recipes/nudeln_mit_pilz-carbonara_&_erbsen.webp;3;Port.;0;0;0;;;;;
97;Wurzelgemüse-Mac & Cheese;2;assets/images/recipes/wurzelgemuese-mac_&_cheese.webp;3;Port.;0;0;0;;;;;
98;Rotkohl-Bohnen-Nudeln;2;assets/images/recipes/rotkohl-bohnen-nudeln.webp;3;Port.;0;0;0;;;;;
99;Pasta mit Blumenkohl-Soße & Spargel;2;assets/images/recipes/pasta_mit_blumenkohl-sosse_&_spargel.webp;3;Port.;0;0;0;;;;;
100;Blumenkohl-Erdnuss-Cremesuppe;3;assets/images/recipes/blumenkohl-erdnuss-cremesuppe.webp;3;Port.;0;0;0;;;https://youtu.be/4qSc1cqYnbQ?si=JwY-d-pVxLmNqMaw;;
101;Nudel-Pilz-Suppe;3;assets/images/recipes/nudel-pilz-suppe.webp;3;Port.;0;0;0;;;;;
102;Dal-Spinat-Tomaten-Suppe;3;assets/images/recipes/dal-spinat-tomaten-suppe.webp;3;Port.;0;0;0;;;;;
103;Quinoa-Soja-Gemüse-Eintopf;3;assets/images/recipes/quinoa-soja-gemuese-eintopf.webp;3;Port.;0;0;0;;;;;
