﻿id;recipe_id;ingredient_id;unit_code;amount
7102;285;403;g;500
7103;285;130;Stk;1
7104;285;32;g;150
7105;285;181;g;150
7106;285;8;EL;2
7109;285;223;TL;2
7110;285;294;TL;2
7111;285;288;TL;2
7112;285;305;TL;1
7113;285;62;TL;1
7126;286;17;g;250
7127;286;352;g;500
7128;286;75;g;150
7129;286;446;g;150
7130;286;21;EL;2
7133;286;305;TL;1
7134;286;210;TL;2
7135;286;62;TL;1
7136;286;70;TL;1
7151;287;367;g;500
7152;287;7;Stk;2
7153;287;187;g;150
7154;287;152;g;40
7155;287;21;EL;2
7158;287;305;TL;1
7159;287;223;TL;2
7160;287;70;TL;1
7161;287;62;TL;1
7176;288;347;g;500
7177;288;301;g;500
7178;288;68;g;300
7179;288;32;g;150
7180;288;187;g;150
7181;288;385;EL;1
7182;288;21;EL;2
7185;288;305;TL;2
7186;288;77;TL;4
7187;288;223;TL;2
7188;288;214;TL;2
7189;288;415;TL;2
7190;288;70;TL;1
7201;289;352;g;500
7202;289;403;g;500
7203;289;301;g;300
7204;289;32;g;250
7205;289;75;g;150
7206;289;181;g;150
7207;289;21;EL;2
7210;289;20;TL;3
7211;289;214;TL;2
7212;289;294;TL;1
7213;289;62;TL;1
7214;289;305;TL;1
7215;289;223;TL;1
7216;289;70;TL;1
7226;290;326;g;500
7227;290;269;Rüb.;5
7228;290;32;g;150
7229;290;446;g;150
7230;290;21;EL;3
7233;290;210;TL;2
7234;290;305;TL;1
7235;290;70;TL;1
7236;290;223;TL;1
7251;291;352;g;500
7252;291;267;Rüb.;4
7253;291;367;g;500
7254;291;365;g;150
7255;291;21;EL;2
7258;291;305;TL;1
7259;291;223;TL;2
7260;291;210;TL;4
7261;291;294;TL;2
7262;291;214;TL;1
7263;291;70;TL;1
7276;292;124;g;500
7277;292;196;g;500
7278;292;32;g;150
7279;292;355;g;150
7280;292;181;g;150
7281;292;21;EL;2
7284;292;305;TL;1
7285;292;294;TL;2
7286;292;62;TL;1
7287;292;214;TL;2
7288;292;70;TL;1
7301;293;354;g;350
7302;293;352;g;500
7303;293;75;g;150
7304;293;181;g;150
7305;293;32;g;150
7306;293;21;EL;2
7309;293;305;TL;1
7310;293;294;TL;1
7311;293;62;TL;1
7312;293;70;TL;1
7326;294;7;Stk;2
7327;294;135;g;300
7328;294;32;g;150
7329;294;321;g;150
7330;294;181;g;150
7331;294;21;EL;2
7334;294;305;TL;1
7335;294;223;TL;3
7336;294;294;TL;2
7337;294;62;TL;1
7338;294;70;TL;1
7351;295;352;g;500
7352;295;196;g;600
7353;295;32;g;150
7354;295;68;g;300
7355;295;365;g;150
7356;295;21;EL;2
7359;295;77;TL;5
7360;295;223;TL;2
7361;295;214;TL;2
7362;295;294;TL;2
7363;295;305;TL;1
7364;295;70;TL;1
7376;296;63;g;300
7377;296;403;g;450
7378;296;135;g;300
7379;296;48;g;150
7380;296;365;g;150
7381;296;21;EL;2
7384;296;305;TL;2
7385;296;294;TL;2
7386;296;62;TL;1
7387;296;288;TL;1
7388;296;70;TL;1
7401;297;425;g;500
7402;297;352;g;500
7403;297;267;Rüb.;3
7404;297;32;g;150
7405;297;181;g;150
7406;297;21;EL;1
7409;297;305;TL;2
7410;297;288;TL;2
7411;297;210;TL;2
7412;297;223;TL;2
7413;297;70;TL;1
7426;298;354;g;400
7427;298;301;g;500
7428;298;32;g;150
7429;298;365;g;150
7430;298;21;EL;2
7433;298;305;TL;2
7434;298;77;TL;3
7435;298;294;TL;1
7436;298;214;TL;1
7437;298;62;TL;1
7438;298;70;TL;1
7451;299;352;g;500
7452;299;196;g;500
7453;299;32;g;250
7454;299;102;g;150
7455;299;21;EL;1
7458;299;305;TL;2
7459;299;77;TL;3
7460;299;294;TL;2
7461;299;214;TL;1
7462;299;351;TL;1
7463;299;70;TL;1
7464;299;210;TL;2
7476;300;368;g;500
7477;300;7;Stk;2
7478;300;326;g;400
7479;300;32;g;150
7480;300;181;g;150
7481;300;21;EL;2
7484;300;305;TL;2
7485;300;294;TL;2
7486;300;223;TL;2
7487;300;70;TL;1
7488;300;214;TL;1
7501;301;352;g;500
7502;301;301;g;500
7503;301;32;g;150
7504;301;68;g;300
7505;301;181;g;150
7506;301;21;EL;2
7509;301;305;TL;2
7510;301;351;TL;2
7511;301;223;TL;2
7512;301;70;TL;1
7513;301;210;TL;2
7526;302;118;g;800
7527;302;135;g;400
7528;302;354;g;200
7529;302;181;g;150
7530;302;8;EL;2
7533;302;77;TL;3
7534;302;305;TL;1
7535;302;214;TL;2
7536;302;351;TL;1
7537;302;70;TL;1
7551;303;354;g;400
7552;303;352;g;500
7553;303;301;g;300
7554;303;32;g;150
7555;303;181;g;150
7556;303;21;EL;2
7559;303;305;TL;2
7560;303;77;TL;3
7561;303;294;TL;2
7562;303;62;TL;1
7563;303;214;TL;2
7564;303;70;TL;1
7576;304;403;g;500
7577;304;118;g;500
7578;304;32;g;250
7579;304;321;g;150
7580;304;152;g;30
7581;304;8;EL;1
7584;304;305;TL;2
7585;304;123;TL;2
7586;304;62;TL;1
7587;304;223;TL;2
7588;304;70;TL;1
7589;304;210;TL;2
7601;305;352;g;500
7602;305;403;g;500
7603;305;32;g;150
7604;305;68;g;200
7605;305;365;g;150
7606;305;21;EL;2
7609;305;305;TL;2
7610;305;294;TL;2
7611;305;210;TL;3
7612;305;415;TL;1
7613;305;214;TL;1
7614;305;70;TL;1
7626;306;63;g;400
7627;306;301;g;500
7628;306;194;Zh.;2
7629;306;32;g;250
7630;306;102;g;150
7631;306;21;EL;2
7634;306;305;TL;1
7635;306;294;TL;2
7636;306;70;TL;1
7637;306;288;TL;1
7638;306;62;TL;1
7639;306;214;TL;1
7651;307;352;g;750
7652;307;118;g;300
7653;307;326;g;500
7654;307;187;g;150
7655;307;21;EL;2
7658;307;305;TL;1
7659;307;210;TL;2
7660;307;70;TL;1
7676;308;124;g;300
7677;308;352;g;300
7678;308;7;Stk;2
7679;308;68;g;300
7680;308;32;g;150
7681;308;181;g;150
7682;308;21;EL;1
7685;308;305;TL;2
7686;308;210;TL;2
7687;308;223;TL;1
7688;308;294;TL;1
7701;309;118;g;500
7702;309;269;Rüb.;3
7703;309;68;g;300
7704;309;32;g;150
7705;309;365;g;150
7706;309;21;EL;2
7709;309;305;TL;1
7710;309;223;TL;2
7711;309;210;TL;2
7712;309;70;TL;1
7713;309;214;TL;1
7726;310;352;g;500
7727;310;403;g;500
7728;310;367;g;500
7729;310;365;g;150
7730;310;21;EL;2
7733;310;305;TL;2
7734;310;294;TL;2
7735;310;210;TL;2
7736;310;415;TL;2
7737;310;214;TL;1
7738;310;70;TL;1
7751;311;354;g;750
7752;311;267;Rüb.;3
7753;311;181;g;150
7754;311;111;g;30
7755;311;21;EL;2
7756;311;385;EL;1
7759;311;305;TL;1
7760;311;223;TL;2
7761;311;77;TL;2
7762;311;70;TL;1
7763;311;206;TL;1
7776;312;352;g;500
7777;312;267;Rüb.;2
7778;312;301;g;300
7779;312;32;g;150
7780;312;102;g;100
7781;312;75;g;150
7782;312;21;EL;1
7785;312;305;TL;2
7786;312;77;TL;2
7787;312;294;TL;2
7788;312;288;TL;2
7789;312;70;TL;1
7801;313;354;g;500
7802;313;352;g;750
7803;313;32;g;150
7804;313;187;g;150
7805;313;21;EL;2
7808;313;305;TL;1
7809;313;77;TL;3
7810;313;195;TL;1
7811;313;70;TL;1
7826;314;196;g;600
7827;314;68;g;500
7828;314;267;Rüb.;2
7829;314;32;g;150
7830;314;187;g;150
7831;314;21;EL;2
7834;314;305;TL;2
7835;314;223;TL;2
7836;314;210;TL;2
7837;314;351;TL;2
7838;314;70;TL;1
7851;315;352;g;600
7852;315;327;g;150
7853;315;267;Rüb.;3
7854;315;32;g;250
7855;315;379;g;100
7856;315;21;EL;2
7859;315;305;TL;1
7860;315;223;TL;2
7861;315;210;TL;2
7862;315;70;TL;1
7876;316;403;g;500
7877;316;301;g;500
7878;316;32;g;150
7879;316;68;g;300
7880;316;181;g;150
7881;316;21;EL;2
7884;316;305;TL;2
7885;316;77;TL;4
7886;316;214;TL;2
7887;316;294;TL;2
7888;316;351;TL;1
7889;316;70;TL;1
7890;316;210;TL;2
7901;317;301;g;750
7902;317;7;Stk;2
7903;317;32;g;250
7904;317;365;g;150
7905;317;8;EL;2
7908;317;305;TL;2
7909;317;294;TL;3
7910;317;214;TL;2
7911;317;62;TL;1
7912;317;70;TL;1
7926;318;352;g;600
7927;318;196;g;500
7928;318;355;g;150
7929;318;379;g;150
7930;318;21;EL;2
7933;318;305;TL;2
7934;318;223;TL;2
7935;318;294;TL;2
7936;318;210;TL;2
7937;318;70;TL;1
7951;319;301;g;600
7952;319;267;Rüb.;3
7953;319;32;g;150
7954;319;68;g;300
7955;319;365;g;150
7956;319;21;EL;2
7959;319;305;TL;2
7960;319;77;TL;3
7961;319;223;TL;2
7962;319;214;TL;2
7963;319;294;TL;2
7964;319;70;TL;1
7976;320;354;g;700
7977;320;403;g;500
7978;320;32;g;150
7979;320;365;g;150
7980;320;21;EL;2
7983;320;305;TL;2
7984;320;223;TL;2
7985;320;288;TL;2
7986;320;214;TL;1
7987;320;70;TL;1
7988;320;210;TL;1
8001;321;196;g;600
8002;321;301;g;300
8003;321;327;g;100
8004;321;32;g;150
8005;321;68;g;200
8006;321;365;g;100
8007;321;21;EL;2
8010;321;305;TL;2
8011;321;77;TL;3
8012;321;223;TL;2
8013;321;214;TL;2
8014;321;294;TL;2
8015;321;70;TL;1
8026;322;403;g;500
8027;322;196;g;500
8028;322;32;g;250
8029;322;365;g;100
8030;322;21;EL;2
8033;322;305;TL;2
8034;322;77;TL;5
8035;322;223;TL;2
8036;322;214;TL;2
8037;322;294;TL;2
8038;322;70;TL;1
8051;323;196;g;900
8052;323;118;g;300
8053;323;7;Stk;2
8054;323;355;g;150
8055;323;365;g;150
8056;323;21;EL;2
8059;323;305;TL;2
8060;323;223;TL;2
8061;323;351;TL;1
8062;323;70;TL;1
8063;323;210;TL;2
8076;324;403;g;500
8077;324;301;g;300
8078;324;32;g;150
8079;324;29;g;100
8080;324;21;EL;2
8083;324;305;TL;2
8084;324;77;TL;2
8085;324;62;TL;2
8086;324;214;TL;2
8087;324;294;TL;2
8088;324;70;TL;1
8101;325;354;g;500
8102;325;403;g;500
8103;325;32;g;150
8104;325;75;g;150
8105;325;93;g;300
8106;325;21;EL;2
8109;325;305;TL;2
8110;325;77;TL;2
8111;325;223;TL;2
8112;325;294;TL;2
8113;325;62;TL;2
8114;325;288;TL;1
8115;325;70;TL;1
8126;326;388;g;500
8127;326;122;Stgl.;1
8128;326;32;g;250
8129;326;321;g;150
8130;326;102;g;150
8131;326;21;EL;2
8134;326;305;TL;2
8135;326;294;TL;2
8136;326;62;TL;1
8137;326;223;TL;1
8138;326;288;TL;1
8139;326;70;TL;2
8140;326;195;TL;1
8151;327;301;g;500
8152;327;196;g;500
8153;327;32;g;250
8154;327;187;g;150
8155;327;21;EL;2
8158;327;305;TL;2
8159;327;77;TL;3
8160;327;294;TL;1
8161;327;62;TL;1
8162;327;223;TL;1
8163;327;70;TL;1
8176;328;33;g;600
8177;328;403;g;500
8178;328;32;g;150
8179;328;365;g;150
8180;328;21;EL;2
8183;328;305;TL;2
8184;328;294;TL;2
8185;328;62;TL;1
8186;328;288;TL;1
8187;328;77;TL;2
8188;328;223;TL;2
8189;328;70;TL;1
8201;329;354;g;500
8202;329;327;g;100
8203;329;258;Stk;1
8204;329;32;g;150
8205;329;181;g;150
8206;329;21;EL;2
8209;329;305;TL;1
8210;329;77;TL;1
8211;329;294;TL;1
8212;329;195;TL;1
8213;329;70;TL;1
8226;330;354;g;400
8227;330;301;g;500
8228;330;118;g;300
8229;330;32;g;150
8230;330;75;g;150
8231;330;365;g;100
8232;330;21;EL;2
8235;330;305;TL;2
8236;330;77;TL;1
8237;330;294;TL;2
8238;330;62;TL;1
8239;330;210;TL;1
8240;330;70;TL;1
8251;331;434;g;100
8252;331;227;g;25
8255;331;27;g;150
8268;331;362;g;150
8272;331;130;g;75
8273;331;76;g;75
8276;332;43;g;500
8277;332;403;g;500
8278;332;416;g;200
8279;332;293;Stk;1
8280;332;140;Stk;1
8281;332;327;Stk;6
8282;332;32;g;250
8283;332;434;g;300
8284;332;316;g;100
8287;332;408;g;40
8288;332;463;Stk;1
8289;332;8;EL;2
8290;332;377;EL;1
8291;332;156;EL;1
8292;332;195;TL;1
8293;332;305;TL;1
8294;332;214;TL;1
8295;332;415;TL;1
8296;332;443;ml;100
8301;333;400;g;300
8302;333;403;g;500
8303;333;33;g;300
8304;333;416;g;200
8305;333;32;g;150
8306;333;434;g;300
8307;333;16;g;100
8310;333;258;Stk;1
8311;333;112;g;40
8312;333;8;EL;1
8313;333;305;TL;1
8314;333;294;TL;1
8315;333;62;TL;1
8316;333;69;TL;1
8326;334;416;g;500
8327;334;140;Stk;2
8328;334;122;Stgl.;2
8329;334;327;g;100
8330;334;32;g;150
8331;334;126;g;300
8332;334;181;g;100
8335;334;408;g;40
8336;334;463;Stk;1
8337;334;8;EL;2
8338;334;377;EL;1
8339;334;195;TL;1
8340;334;305;TL;1
8341;334;214;TL;1
8342;334;70;TL;1
8343;334;443;ml;50
8351;335;416;g;500
8352;335;298;Stk;1
8353;335;157;g;300
8354;335;108;g;400
8356;335;355;g;150
8357;335;386;g;40
8358;335;434;g;300
8359;335;365;g;100
8376;336;468;g;500
8377;336;403;g;400
8378;336;33;g;300
8379;336;416;g;300
8380;336;269;Rüb.;2
8381;336;32;g;250
8382;336;434;g;300
8383;336;181;g;150
8384;336;377;EL;1
8385;336;305;TL;1
8386;336;294;TL;2
8387;336;62;TL;3
8390;336;61;g;40
8391;336;463;Stk;1
8392;336;305;TL;1
8393;336;81;TL;1
8394;336;351;TL;1
8395;336;214;TL;1
8396;336;443;ml;50
8401;337;403;g;500
8402;337;298;Stk;1
8403;337;293;Stk;1
8404;337;269;Rüb.;2
8405;337;140;Stk;1
8407;337;126;g;300
8408;337;412;g;200
8411;337;112;g;40
8413;337;305;TL;1
8414;337;77;TL;1
8415;337;294;TL;1
8416;337;62;TL;1
8417;337;443;ml;50
8426;338;403;g;500
8427;338;298;Stk;2
8428;338;258;Stk;1
8429;338;473;Stk;2
8430;338;32;g;150
8431;338;321;g;300
8432;338;365;g;200
8433;338;462;TL;2
8434;338;214;TL;2
8435;338;195;TL;1
8438;338;408;g;40
8439;338;422;g;30
8440;338;8;EL;1
8441;338;69;TL;1
8442;338;294;TL;1
8443;338;305;TL;1
8444;338;62;TL;1
8445;338;443;ml;50
8451;339;468;g;500
8452;339;140;Stk;1
8453;339;293;Stk;2
8454;339;122;Stk;2
8455;339;32;g;150
8456;339;434;g;300
8457;339;102;g;200
8460;339;181;g;100
8461;339;156;EL;2
8462;339;377;EL;1
8463;339;8;EL;1
8464;339;195;TL;1
8465;339;222;TL;2
8466;339;62;TL;1
8467;339;415;TL;1
8468;339;443;ml;100
8476;340;33;g;500
8477;340;157;g;300
8478;340;391;g;250
8479;340;59;g;25
8480;340;21;EL;2
8481;340;434;g;300
8482;340;379;g;100
8485;340;281;g;20
8486;340;422;g;30
8487;340;8;EL;3
8488;340;305;TL;1
8489;340;294;TL;1
8490;340;69;TL;3
8491;340;62;TL;2
8492;340;443;ml;100
8501;341;403;g;400
8502;341;354;g;300
8503;341;298;Stk;2
8504;341;245;g;150
8505;341;32;g;150
8506;341;321;g;300
8507;341;365;g;100
8510;341;61;g;40
8511;341;372;EL;1
8512;341;8;EL;5
8513;341;305;TL;1
8514;341;294;TL;1
8515;341;69;TL;3
8516;341;62;TL;1
8517;341;443;ml;100
8526;342;54;g;500
8527;342;140;Stk;1
8528;342;293;Stk;2
8529;342;403;g;300
8530;342;32;g;150
8531;342;434;g;300
8532;342;181;g;100
8535;342;112;g;20
8536;342;8;EL;2
8537;342;377;EL;1
8538;342;62;TL;2
8539;342;305;TL;1
8540;342;207;TL;1
8541;342;195;TL;2
8542;342;164;TL;1
8543;342;443;ml;50
8551;343;140;Stk;1
8552;343;416;g;500
8553;343;403;g;300
8554;343;197;Kn.;1
8555;343;32;g;150
8556;343;434;g;300
8557;343;232;g;100
8561;343;112;g;40
8562;343;8;EL;3
8563;343;377;EL;1
8564;343;305;TL;1
8565;343;294;TL;1
8566;343;62;TL;1
8567;343;77;TL;1
8568;343;443;ml;50
8576;344;258;Stk;1
8577;344;15;Stk;1
8578;344;135;g;300
8579;344;412;g;200
8580;344;434;g;300
8583;344;286;Stk;1
8584;344;408;g;40
8585;344;305;TL;1
8586;344;69;TL;1
8587;344;62;TL;1
8588;344;77;TL;1
8601;345;416;g;600
8602;345;352;g;500
8603;345;140;Stk;1
8604;345;32;g;150
8605;345;434;g;300
8606;345;316;g;100
8609;345;293;Stk;2
8610;345;194;Zh.;3
8611;345;156;EL;3
8612;345;377;EL;1
8613;345;8;EL;2
8614;345;443;ml;150
8615;345;222;TL;1
8616;345;62;TL;1
8617;345;305;TL;1
8618;345;415;TL;1
8626;346;416;g;400
8627;346;473;Stk;1
8628;346;291;Stk;1
8629;346;258;Stk;1
8630;346;32;g;150
8631;346;434;g;300
8632;346;365;g;100
8635;346;408;g;40
8636;346;8;EL;3
8637;346;305;TL;1
8638;346;81;TL;1
8639;346;62;TL;1
8640;346;195;TL;1
8641;346;443;ml;50
8651;347;468;g;600
8652;347;403;g;300
8653;347;269;Stk;5
8654;347;416;g;300
8655;347;32;g;150
8656;347;434;g;300
8657;347;181;g;150
8658;347;377;EL;1
8659;347;305;TL;1
8660;347;294;TL;2
8661;347;62;TL;2
8664;347;224;Stg.;0,5
8665;347;194;Zh.;3
8666;347;61;g;40
8667;347;264;g;10
8668;347;8;EL;4
8669;347;443;ml;100
8670;347;305;TL;1
8671;347;62;TL;1
8672;347;70;TL;1
8676;348;135;g;600
8677;348;298;Stk;2
8678;348;416;g;500
8679;348;434;g;300
8680;348;365;g;100
8681;348;245;g;150
8684;348;416;g;200
8685;348;194;Zh.;3
8686;348;61;g;40
8687;348;8;EL;2
8688;348;156;EL;3
8689;348;443;ml;100
8690;348;214;TL;1
8691;348;288;TL;1
8692;348;305;TL;1
8693;348;62;TL;1
8694;348;294;TL;1
8701;349;135;g;300
8702;349;354;g;300
8703;349;298;Stk;2
8704;349;468;g;300
8705;349;434;g;300
8706;349;181;g;100
8709;349;416;g;200
8710;349;194;Zh.;3
8711;349;61;g;40
8712;349;8;EL;2
8713;349;156;EL;3
8714;349;443;ml;100
8715;349;214;TL;1
8716;349;288;TL;1
8717;349;305;TL;1
8718;349;62;TL;1
8719;349;294;TL;1
8726;350;135;g;300
8727;350;403;g;450
8728;350;301;g;500
8729;350;130;Stk;1
8730;350;434;g;300
8731;350;365;g;100
8734;350;22;Stk;1
8735;350;112;g;40
8736;350;8;EL;3
8737;350;377;EL;1
8738;350;305;TL;1
8739;350;294;TL;1
8740;350;62;TL;1
8741;350;77;TL;1
8751;351;135;g;300
8752;351;403;g;500
8753;351;43;g;500
8754;351;434;g;300
8755;351;181;g;100
8758;351;59;g;100
8759;351;463;Stk;1
8760;351;194;Zh.;2
8761;351;8;EL;1
